status	job	detail
OK	w39:128	
OK	w39:166	
OK	w39:22	
OK	w39:21	
OK	w39:230	
OK	w39:3	
OK	w39:334	
OK	w39:415	
SKIP	w39:336	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w39:462	
OK	w39:484	
OK	w39:708	
OK	w39:77	
OK	w39:85	
OK	w39:88	
OK	w4:12	
OK	w4:175	
OK	w37:613	
OK	w4:188	
CRASH	w39:10	executor process died (native abort)
OK	w35:459	
OK	w4:340	
OK	w4:299	
OK	w4:315	
