op	annotated	n_qdq	lowered	deleg_ops	note
gt.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
hardtanh	YES	2	-	-	
hardtanh.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Char'
index.Tensor_out	YES	2	-	-	
index_put	YES	4	-	-	
index_select	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
index_select.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
isinf	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
isnan	YES	2	-	-	
le.Scalar_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
le.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
leaky_relu.out	YES	2	-	-	
lift_fresh_copy	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
linear	YES	4	-	-	
linear.out	YES	4	-	-	
log.out	YES	2	-	-	
log10.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
log1p.out	YES	2	-	-	
log2.out	YES	2	-	-	
logical_and	YES	4	-	-	
logical_and.out	YES	4	-	-	
logical_not	YES	2	-	-	
logical_not.out	YES	2	-	-	
logical_or	YES	4	-	-	
logical_or.out	YES	4	-	-	
logical_xor	YES	4	-	-	
logical_xor.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
logit	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
logit.out	YES	2	-	-	
lt.Scalar_out	YES	2	-	-	
lt.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Byte'
masked_fill.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Char'
masked_scatter	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
