job_id	out_idx	verdict	cone_size	required_siblings	detail
w123:318	3	OPERATOR	4		diverges alone (cone 4)
w123:324	0	OPERATOR	4		diverges alone (cone 4)
w123:33	3	OPERATOR	6		diverges alone (cone 6)
w123:331	0	OPERATOR	4		diverges alone (cone 4)
w123:333	1	OPERATOR	3		diverges alone (cone 3)
w123:338	1	OPERATOR	5		diverges alone (cone 5)
w123:343	2	OPERATOR	5		diverges alone (cone 5)
w123:366	0	OPERATOR	2		diverges alone (cone 2)
w123:37	2	OPERATOR	2		diverges alone (cone 2)
w123:373	0	OPERATOR	4		diverges alone (cone 4)
w123:374	4	OPERATOR	3		diverges alone (cone 3)
w123:375	3	OPERATOR	5		diverges alone (cone 5)
w123:377	0	OPERATOR	5		diverges alone (cone 5)
w123:379	1	OPERATOR	6		diverges alone (cone 6)
w123:380	1	OPERATOR	3		diverges alone (cone 3)
w123:39	0	GRAPHOPT	8	n8	needs siblings ['n8']
w123:394	1	GRAPHOPT	7	n8	needs siblings ['n8']
w123:396	1	OPERATOR	7		diverges alone (cone 7)
w123:401	0	OPERATOR	2		diverges alone (cone 2)
w123:402	1	OPERATOR	5		diverges alone (cone 5)
w123:404	2	OPERATOR	2		diverges alone (cone 2)
w123:405	0	OPERATOR	6		diverges alone (cone 6)
w123:408	3	OPERATOR	4		diverges alone (cone 4)
w123:41	2	OPERATOR	3		diverges alone (cone 3)
w123:419	4	NOREPRO	3		full graph diverges=False
w123:43	2	OPERATOR	3		diverges alone (cone 3)
w123:435	1	GRAPHOPT	10	n12	needs siblings ['n12']
w123:436	2	OPERATOR	9		diverges alone (cone 9)
w123:440	1	NOREPRO	3		full graph diverges=False
w123:441	4	OPERATOR	3		diverges alone (cone 3)
w123:442	0	OPERATOR	4		diverges alone (cone 4)
w123:445	0	GRAPHOPT	6	n7	needs siblings ['n7']
