job_id	out	verdict	required	mechanism	sample
w121:628	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[1.906777, 1.906777] et=[0.0, 0.0]
w121:718	4	SIBLING_DEPENDENT	n8	WRONG-VALUE	eager=[0.0, 0.0] et=[4.579633055454462e+18, 4.581551153489117e+18]
w122:439	0	SIBLING_DEPENDENT	n9	ZEROED	eager=[1.0, 1.0, 1.0] et=[0.0, 0.0, 0.0]
w122:517	0	COMPOSITIONAL	n1,n0	WRONG-VALUE	eager=[0.0, 0.0, 0.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w122:702	2	SIBLING_DEPENDENT	n1	REF-NONFINITE (filter)	eager=[nan] et=[-65504.0]
w123:128	3	SIBLING_DEPENDENT	n4	ZEROED	eager=[-3.0, -3.0] et=[0.0, 0.0]
w123:323	1	SIBLING_DEPENDENT	n7	WRONG-VALUE	eager=[0.0, 0.0] et=[1.0, 1.0]
w123:49	0	SIBLING_DEPENDENT	n6,n7	ZEROED	eager=[0.88623, 0.982422] et=[0.0, 0.0]
w124:414	0	SIBLING_DEPENDENT	n4	REF-NONFINITE (filter)	eager=[nan, nan, nan] et=[0.0, 0.0, 0.0]
w124:469	3	COMPOSITIONAL	n4,n5	ZEROED	eager=[1.0] et=[0.0]
w124:557	2	COMPOSITIONAL	n0,n1	ZEROED	eager=[0.0, 0.0, 1.0, 1.0] et=[0.0, 0.0, 0.0, 0.0]
w125:517	0	SIBLING_DEPENDENT	n6	WRONG-VALUE	eager=[1.748751, 1.013815, 1.981464, 1.512754] et=[1.0, 1.0, 1.0, 1.0]
w125:77	1	SIBLING_DEPENDENT	n5	ZEROED	eager=[-0.465497, 0.957294] et=[0.0, 0.0]
w126:182	3	SIBLING_DEPENDENT	n2	WRONG-VALUE	eager=[1.0, 1.0, 1.0, 1.0] et=[1.187272, 1.342913, 1.771301, 1.37015]
w126:226	0	SIBLING_DEPENDENT	n5,n8	WRONG-VALUE	eager=[0.0, 1.0] et=[1.0, 1.0]
w126:255	4	SIBLING_DEPENDENT	n2,n6	ZEROED	eager=[0.588867] et=[0.0]
w126:279	0	COMPOSITIONAL	n0	ZEROED	eager=[0.517509, 0.110353] et=[0.0, 0.0]
w126:296	2	SIBLING_DEPENDENT	n6	REF-NONFINITE (filter)	eager=[nan] et=[65504.0]
