job_id	out_idx	verdict	cone_size	required	detail
w3:644	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w3:746	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w30:117	1	SIBLING_DEPENDENT	4	n2	
w30:556	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w31:327	1	COMPOSITIONAL	2	n2	
w32:31	0	OPERATOR	4		
w32:331	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w33:120	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w33:170	0	OPERATOR	2		
w33:92	0	OPERATOR	4		
w35:18	2	SIBLING_DEPENDENT	2	n8	
w35:180	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w36:32	4	OPERATOR	2		
w36:373	0	OPERATOR	1		
w36:736	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w36:766	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w37:113	2	COMPOSITIONAL	4	n4	
w37:364	2	SIBLING_DEPENDENT	4	n1,n6	
w37:576	1	LOWERFAIL			BUILD:SKIP: to_executorch AssertionError: Deploying a model with no inputs in Co
w39:697	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w4:518	0	OPERATOR	1		
w42:28	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w43:198	3	COMPOSITIONAL	3	n2	
w43:456	0	OPERATOR	1		
w43:643	1	SIBLING_DEPENDENT	3	n7	
w43:734	0	OPERATOR	2		
w44:585	1	SIBLING_DEPENDENT	4	n5	
w44:740	4	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w45:230	1	OPERATOR	1		
w45:288	4	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w46:88	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w47:30	1	OPERATOR	7		
w47:320	0	COMPOSITIONAL	1	n0	
w47:345	4	OPERATOR	2		
w47:505	0	OPERATOR	1		
w47:7	2	SIBLING_DEPENDENT	3	n3	
w48:352	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w48:685	2	OPERATOR	1		
w49:375	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w5:136	0	LOWERFAIL			BUILD:SKIP: to_executorch ValueError: Op "aten_index_select_default" (op_type: g
w5:205	1	OPERATOR	5		
w5:214	0	SIBLING_DEPENDENT	3	n9	
w50:491	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w51:261	0	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w51:557	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w51:637	2	COMPOSITIONAL	3	n3	
