op	verdict	job	out	detail	eager	device	in_dtypes
remainder.Scalar_out	GENUINE	w0:318	4	out[0] dtype torch.float32 vs torch.int32	[-7.0, -7.0, -7.0, -7.0, -7.0, -7.0]	[1.0, 1.0, 1.0, -1.0, -1.0, -1.0]	["torch.int8"]
remainder.Tensor_out	GENUINE	w109:382	1	out[0] max|delta|=4.000e+00 (rtol=0.01 atol=0.001)	[-1.0, 0.0, -2.0, -1.0, 0.0, -2.0]	[2.0, 0.0, 2.0, 2.0, 0.0, 2.0]	["torch.uint8", "torch.int32"]
repeat	CLEAN	w0:706	0	op reproduces eager alone	""	""	""
replication_pad1d.out	CLEAN	w117:370	0	op reproduces eager alone	""	""	""
replication_pad2d.out	CLEAN	w12:290	0	op reproduces eager alone	""	""	""
replication_pad3d.out	CLEAN	w122:671	1	op reproduces eager alone	""	""	""
roll	LOWERFAIL	w104:498	0	build=SKIP	""	""	""
round.out	GENUINE	w101:24	0	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0]	["torch.float32"]
rsqrt.out	CLEAN	w108:493	2	op reproduces eager alone	""	""	""
rsub.Scalar	GENUINE	w0:705	0	out[0] max|delta|=4.000e+00 (rtol=0.01 atol=0.001)	[1.0, 2.0, 4.0, 1.0, 5.0, 4.0]	[1.0, 2.0, 1.0, 2.0, 1.0, 2.0]	["torch.uint8"]
scatter.src_out	CLEAN	w123:637	3	op reproduces eager alone	""	""	""
scatter.value_out	CLEAN	w102:523	1	op reproduces eager alone	""	""	""
scatter_add.out	CLEAN	w81:529	0	op reproduces eager alone	""	""	""
select_copy.int	GENUINE	w106:747	0	out[0] max|delta|=1.667e-01 (rtol=0.01 atol=0.001)	[-0.16667, -0.16667, -0.16667, -0.16667, -0.16667, -0.0]	[-0.0, -0.16667, -0.16667, -0.16667, -0.0, -0.16667]	["torch.float32"]
select_scatter	GENUINE	w0:215	0	out[0] dtype torch.uint8 vs torch.float16	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, -0.34644, 0.84619]	["torch.uint8", "torch.float16"]
sigmoid.out	CLEAN	w0:573	0	op reproduces eager alone	""	""	""
sign.out	CLEAN	w102:77	0	op reproduces eager alone	""	""	""
sin.out	GENUINE	w121:571	0	out[0] max|delta|=1.495e+00 (rtol=0.01 atol=0.001)	[-0.46387, 0.45996, -0.7124, -0.54004, 0.62451, -0.79102]	[-0.46387, 0.45996, -0.7124, -0.53955, 0.62451, -0.79102]	["torch.float16"]
sinh.out	CLEAN	w100:33	1	op reproduces eager alone	""	""	""
slice_copy.Tensor	GENUINE	w100:336	1	out[0] max|delta|=1.164e+00 (rtol=0.01 atol=0.001)	[0.0, 1.16359]	[0.0, 0.0]	["torch.float32"]
slice_scatter	CLEAN	w105:4	0	op reproduces eager alone	""	""	""
split_copy.Tensor	CLEAN	w100:400	1	op reproduces eager alone	""	""	""
split_with_sizes_copy	GENUINE	w100:620	0	out[0] max|delta|=7.000e+00 (rtol=0.0 atol=0.0)	[-3.0, -3.0, -3.0, 1.0, -3.0, 4.0]	[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0]	["torch.int64"]
sqrt.out	CLEAN	w124:538	2	op reproduces eager alone	""	""	""
squeeze_copy.dim	GENUINE	w101:965	0	out[0] max|delta|=2.000e+00 (rtol=0.01 atol=0.001)	[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0]	["torch.float32"]
squeeze_copy.dims	GENUINE	w104:270	1	out[0] max|delta|=9.503e-01 (rtol=0.01 atol=0.001)	[0.37378, -0.79443, -0.68555, -0.82568, -0.45337, -0.58252]	[0.37378, -0.79443, -0.68555, -0.82568, 0.37378, -0.79443]	["torch.float16"]
sub.Scalar	CLEAN	w0:533	0	op reproduces eager alone	""	""	""
sub.out	GENUINE	w10:391	0	out[0] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)	[2.0, 4.0, 1.0, 0.0, 1.0, 1.0]	[2.0, 4.0, 1.0, 0.0, 1.0, 1.0]	["torch.int32", "torch.uint8"]
sum.IntList_out	GENUINE	w101:417	2	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[4.0]	[5.0]	["torch.float16"]
t_copy	CLEAN	w120:658	0	op reproduces eager alone	""	""	""
tan.out	CLEAN	w104:921	1	op reproduces eager alone	""	""	""
tanh.out	CLEAN	w102:647	0	op reproduces eager alone	""	""	""
topk.values	CLEAN	w101:463	0	op reproduces eager alone	""	""	""
transpose_copy.int	GENUINE	w0:196	2	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	[0.0, 0.0, 0.0, 4.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 4.0, 0.0, 0.0]	["torch.int64"]
tril.out	GENUINE	w107:662	2	out[0] max|delta|=6.000e+00 (rtol=0.01 atol=0.001)	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	["torch.float32", "torch.float32"]
trunc.out	CLEAN	w101:1091	4	op reproduces eager alone	""	""	""
unbind_copy.int	CLEAN	w105:23	2	op reproduces eager alone	""	""	""
unfold_copy	GENUINE	w109:386	1	out[0] max|delta|=1.961e+00 (rtol=0.01 atol=0.001)	[-0.86377, -0.02344, -1.23438, -0.97266, -0.6875, -0.625]	[-0.86377, -0.02344, -1.23438, -0.86377, -0.02344, -1.23438]	["torch.float16"]
unsqueeze_copy	GENUINE	w101:98	0	out[0] max|delta|=5.510e-01 (rtol=0.01 atol=0.001)	[0.43628, 0.43628, 0.43628, -0.11475, -0.11475, -0.11475]	[0.43628, 0.43628, 0.43628, 0.43628, 0.43628, 0.43628]	["torch.float16"]
var.correction	CLEAN	w106:778	0	op reproduces eager alone	""	""	""
var.correction_out	CLEAN	w22:1106	0	op reproduces eager alone	""	""	""
var_mean.correction	GENUINE	w112:322	3	out[0] max|delta|=1.534e-01 (rtol=0.01 atol=0.001)	[0.0]	[0.15344]	["torch.float16"]
view_copy	GENUINE	w101:371	0	out[0] max|delta|=4.770e+00 (rtol=0.01 atol=0.001)	[3.07031, 3.07031, 3.07031, 6.3125, 3.07031, 1.54297]	[3.07031, 3.07031, 3.07031, 6.3125, 3.07031, 1.54297]	["torch.float16"]
where.self	CLEAN	w111:62	1	op reproduces eager alone	""	""	""
where.self_out	GENUINE	w107:97	0	out[0] max|delta|=1.593e+00 (rtol=0.01 atol=0.001)	[-0.48249, -0.48249, -0.48249, -0.48249, -0.48249, -0.48249]	[-0.48249, -0.48249, -0.48249, -0.48249, -0.48249, -0.48249]	["torch.bool", "torch.float32", "torch.float32"]
