job_id	out_idx	verdict	cone_size	required_siblings	detail
w25:69	0	OPERATOR	4		diverges alone (cone 4)
w25:690	3	OPERATOR	6		diverges alone (cone 6)
w25:694	0	GRAPHOPT	6	n6	needs siblings ['n6']
w25:696	3	OPERATOR	2		diverges alone (cone 2)
w25:710	1	OPERATOR	7		diverges alone (cone 7)
w25:719	2	OPERATOR	5		diverges alone (cone 5)
w25:728	3	OPERATOR	3		diverges alone (cone 3)
w25:733	0	OPERATOR	7		diverges alone (cone 7)
w25:755	0	GRAPHOPT	5	n4	needs siblings ['n4']
w25:764	1	OPERATOR	4		diverges alone (cone 4)
w25:767	0	OPERATOR	2		diverges alone (cone 2)
w25:773	1	OPERATOR	7		diverges alone (cone 7)
w25:787	2	OPERATOR	5		diverges alone (cone 5)
w25:79	2	OPERATOR	7		diverges alone (cone 7)
w25:791	1	GRAPHOPT	5	n6	needs siblings ['n6']
w25:796	1	OPERATOR	4		diverges alone (cone 4)
w25:800	3	OPERATOR	4		diverges alone (cone 4)
w25:811	1	NOREPRO	6		full graph diverges=False
w25:815	1	OPERATOR	5		diverges alone (cone 5)
w25:821	1	OPERATOR	3		diverges alone (cone 3)
w25:85	0	OPERATOR	3		diverges alone (cone 3)
w26:110	0	NOREPRO	4		full graph diverges=False
w26:123	2	OPERATOR	4		diverges alone (cone 4)
