w0:824	1	GRAPHOPT	8	n3,n8	needs siblings ['n3', 'n8']
w0:861	3	LOWERFAIL	5		dev=TIMEOUT
w0:874	2	LOWERFAIL	5		dev=TIMEOUT
w0:887	1	LOWERFAIL	2		dev=TIMEOUT
w0:891	2	LOWERFAIL	5		dev=TIMEOUT
w0:897	4	LOWERFAIL	5		dev=TIMEOUT
w0:91	2	LOWERFAIL	3		dev=TIMEOUT
w0:929	2	LOWERFAIL	8		dev=TIMEOUT
w0:945	4	OPERATOR	5		diverges alone (cone 5)
w0:989	1	LOWERFAIL	6		dev=TIMEOUT
w0:998	0	OPERATOR	3		diverges alone (cone 3)
w10:1028	3	OPERATOR	2		diverges alone (cone 2)
w10:151	0	NOREPRO	2		full graph diverges=False
w10:208	2	OPERATOR	3		diverges alone (cone 3)
w10:238	3	LOWERFAIL	3		dev=TIMEOUT
w10:253	0	GRAPHOPT	16	n14,n15	needs siblings ['n14', 'n15']
w10:34	0	LOWERFAIL	6		dev=TIMEOUT
w10:345	3	LOWERFAIL	4		dev=TIMEOUT
w10:363	1	OPERATOR	5		diverges alone (cone 5)
w10:376	1	LOWERFAIL	3		dev=TIMEOUT
w10:391	3	LOWERFAIL	3		dev=TIMEOUT
w10:436	0	LOWERFAIL	3		dev=TIMEOUT
w10:481	0	GRAPHOPT	4	n6	needs siblings ['n6']
w10:49	0	LOWERFAIL	3		dev=TIMEOUT
w10:493	1	LOWERFAIL	4		dev=TIMEOUT
w10:533	3	LOWERFAIL	5		dev=TIMEOUT
w10:549	3	LOWERFAIL	8		dev=TIMEOUT
w10:567	2	LOWERFAIL	6		dev=TIMEOUT
w10:59	4	OPERATOR	4		diverges alone (cone 4)
w10:616	0	LOWERFAIL	4		dev=TIMEOUT
w10:633	0	LOWERFAIL	4		dev=TIMEOUT
w10:672	2	LOWERFAIL	6		dev=TIMEOUT
w10:679	0	LOWERFAIL	4		dev=TIMEOUT
w10:7	0	OPERATOR	3		diverges alone (cone 3)
w10:709	1	OPERATOR	7		diverges alone (cone 7)
w10:725	2	OPERATOR	6		diverges alone (cone 6)
w10:743	1	GRAPHOPT	8	n1,n5,n6,n7	needs siblings ['n1', 'n5', 'n6', 'n7']
w10:783	0	LOWERFAIL	3		dev=TIMEOUT
w10:788	0	LOWERFAIL	2		dev=TIMEOUT
w10:807	0	LOWERFAIL	12		dev=TIMEOUT
w10:818	3	OPERATOR	4		diverges alone (cone 4)
w10:850	1	OPERATOR	2		diverges alone (cone 2)
w10:86	3	LOWERFAIL	4		dev=TIMEOUT
w10:866	2	LOWERFAIL	5		dev=TIMEOUT
w10:872	2	LOWERFAIL	5		dev=TIMEOUT
w10:892	0	LOWERFAIL	3		dev=TIMEOUT
w10:956	2	LOWERFAIL	2		dev=TIMEOUT
w1:1033	1	OPERATOR	6		diverges alone (cone 6)
w11:1019	1	LOWERFAIL	6		dev=TIMEOUT
