job_id	op	status	cm_bucket	cm_compute	cm_all	leaf_nonfinite	note
w92:369	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w93:306	permute_copy	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w94:33	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w95:200	ones.out	SKIP	NO-CM			False	
w96:147	bitwise_left_shift.Tensor_out	MISMATCH	NO-CM			False	
w96:773	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w97:765	stack	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w98:720	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w99:611	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w9:560	fmod.Scalar	MISMATCH	NO-CM			False	
w0:323	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w100:270	scatter.src_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w101:238	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w102:106	fmod.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w102:746	stack	SKIP	NO-CM			False	
w103:720	arange.start_out	SKIP	NO-CM			False	
w104:721	zeros.out	SKIP	NO-CM			False	
w105:8	ones.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w106:758	arange.out	SKIP	NO-CM			False	
w107:630	expand_copy	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w108:562	zeros.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w109:580	bitwise_right_shift.Tensor_out	MISMATCH	NO-CM			False	
w0:331	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w100:278	stack	SKIP	NO-CM			False	
w101:239	ones.out	SKIP	NO-CM			False	
w102:112	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w102:756	zeros.out	SKIP	NO-CM			False	
w103:745	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w104:749	_pdist_forward	SKIP	NO-CM			False	
w105:97	arange.start_out	SKIP	NO-CM			False	
w106:773	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w107:649	arange.start_out	SKIP	NO-CM			False	
w108:59	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w109:581	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w10:640	_fft_r2c	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w110:633	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w111:775	zeros.out	SKIP	NO-CM			False	
w112:67	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w113:580	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w114:408	remainder.Tensor_out	MISMATCH	NO-CM			False	
w115:26	remainder.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w116:140	zeros.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w116:693	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w117:704	stack	SKIP	NO-CM			False	
w118:624	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w119:523	stack	SKIP	NO-CM			False	
w11:440	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w120:426	permute_copy	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w121:458	stack	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w122:27	arange.out	SKIP	NO-CM			False	
w123:169	arange.out	SKIP	NO-CM			False	
w124:272	linear.out	CRASH	NO-CM			False	
w125:219	stack	SKIP	NO-CM			False	
w126:112	ones.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w127:138	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w12:178	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w12:748	bitwise_right_shift.Tensor_out	MISMATCH	NO-CM			False	
w13:679	full.out	SKIP	NO-CM			False	
w14:665	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w15:631	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w16:467	stack	SKIP	NO-CM			False	
w17:36	ones.out	SKIP	NO-CM			False	
w18:384	minimum.out	SKIP	CM-COMPUTE	minimum	minimum	False	
