job_id	out_idx	verdict	cone_size	required	detail
w29:160	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w29:315	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w29:454	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w29:492	0	SIBLING_DEPENDENT	3	n4,n7	
w29:576	5	SIBLING_DEPENDENT	5	n2	
w3:221	1	SIBLING_DEPENDENT	2	n7	
w3:347	0	SIBLING_DEPENDENT	2	n8	
w3:415	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w3:766	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w30:393	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w31:210	1	OPERATOR	2		
w31:380	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w31:584	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w32:166	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w33:0	1	SIBLING_DEPENDENT	2	n3	
