job	out	verdict	bucket	rec_mech	mech	test	vacuous	shared	port	xnn	eq_port	eq_xnn	A_deleg	B_deleg	deleg_full	A_n_ok	B_n_div	dtype	shape	numel	rel_pt	rel_sc	n_match	tgt_op	trigger_ops	detail	file
w66:39	0	SIBLING_DEPENDENT	SCALE_ALIAS	SCALE:17.847	CLOBBER_EXACT:n6	t6	VACUOUS(n=2,matches=1)	VGF_ONLY	OK	OK	False	False	4	3	5	2	3	float16	(2,)	2			1	hardtanh	fill	byte-identical to another live tensor	w66_39__0.pt
w66:273	0	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n7	CLOBBER_EXACT:n7	t6		VGF_ONLY	OK	OK	False	False	5	7	7	2	3	float32	(3, 4, 3, 3, 3)	324			1	mul	ceil	byte-identical to another live tensor	w66_273__0.pt
w23:9	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L0	CLOBBER_NEAR:L0	t6		SHARED	MISMATCH	MISMATCH	True	True	0	0	4	2	3	int64	(3, 3, 2)	18			1	hardtanh	remainder	near-equal to another live tensor	w23_9__0.pt
w25:146	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:0.167	CLOBBER_NEAR:L0	t6		SHARED	MISMATCH	MISMATCH	True	True	0	0	7	2	3	int64	(2, 1, 4, 2)	16			1	abs	remainder	near-equal to another live tensor	w25_146__0.pt
w53:531	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L0	CLOBBER_NEAR:L0	t6		SHARED	MISMATCH	MISMATCH	True	True	1	1	4	2	3	float16	(4, 4, 1, 1)	16			1	erf	bitwise_left_shift	near-equal to another live tensor	w53_531__0.pt
w57:285	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L0	CLOBBER_NEAR:L0	t6		SHARED	MISMATCH	MISMATCH	True	True	0	0	3	2	3	float32	(2, 3, 4, 4, 4)	384			1	bitwise_left_shift	clamp;bitwise_left_shift	near-equal to another live tensor	w57_285__0.pt
w77:654	1	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L0	CLOBBER_NEAR:L0	t6	VACUOUS(n=2,matches=2)	SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	int64	(2,)	2			2	bitwise_or	bitwise_left_shift;logical_or	near-equal to another live tensor	w77_654__1.pt
w126:715	5	COMPOSITIONAL	SCALE_ALIAS	ALIAS:L4	CLOBBER_NEAR:L4	t6	VACUOUS(n=2,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	float32	(1, 2)	2			1	bitwise_xor	select_scatter	near-equal to another live tensor	w126_715__5.pt
w18:435	1	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n0	CLOBBER_NEAR:n0	t6	VACUOUS(n=1,matches=3)	SHARED	MISMATCH	MISMATCH	True	True	0	0	5	2	3	int64	()	1			3	sign	bitwise_left_shift	near-equal to another live tensor	w18_435__1.pt
w59:389	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:-0.250	CLOBBER_NEAR:n0	t6	VACUOUS(n=2,matches=6)	SHARED	MISMATCH	MISMATCH	True	True	1	1	3	2	3	float32	(2,)	2			6	maximum	remainder	near-equal to another live tensor	w59_389__0.pt
w63:150	2	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n0	CLOBBER_NEAR:n0	t6	VACUOUS(n=1,matches=3)	VGF_ONLY	OK	OK	False	False	3	2	2	2	3	int32	()	1			3	logical_not	amin	near-equal to another live tensor	w63_150__2.pt
w69:672	2	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n0	CLOBBER_NEAR:n0	t6	VACUOUS(n=4,matches=5)	SHARED	MISMATCH	MISMATCH	True	True	1	1	7	2	3	float32	(4,)	4			5	minimum	remainder	near-equal to another live tensor	w69_672__2.pt
w71:685	0	SIBLING_DEPENDENT	SCALE_ALIAS	SCALE:0.000	CLOBBER_NEAR:n0	t6	VACUOUS(n=384,matches=2)	VGF_ONLY	OK	OK	False	False	1	3	4	2	3	bool	(2, 4, 4, 4, 3)	384			2	logical_xor	split_with_sizes_copy	near-equal to another live tensor	w71_685__0.pt
w94:418	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n0	CLOBBER_NEAR:n0	t6	VACUOUS(n=1,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	2	2	9	2	3	float16	(1, 1)	1			1	unsqueeze_copy	_to_copy;remainder	near-equal to another live tensor	w94_418__0.pt
w117:20	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:-0.333	CLOBBER_NEAR:n1	t6	VACUOUS(n=2,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	2	4	5	2	3	float32	(2,)	2			1	mul	_to_copy;slice_copy;remainder	near-equal to another live tensor	w117_20__0.pt
w4:391	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n1	CLOBBER_NEAR:n1	t6		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	1	2	8	2	3	uint8	(2, 4)	8			1	ne	trunc;native_group_norm	near-equal to another live tensor	w4_391__0.pt
w58:331	0	SIBLING_DEPENDENT	SCALE_ALIAS	ALIAS:n10	CLOBBER_NEAR:n10	t6		VGF_ONLY	OK	OK	False	False	1	3	3	2	3	int64	(2, 3, 4, 4)	96			1	min	transpose_copy	near-equal to another live tensor	w58_331__0.pt
w113:165	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n2	CLOBBER_NEAR:n2	t6	VACUOUS(n=1,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	0	1	4	2	3	uint8	()	1			1	alias_copy	sum	near-equal to another live tensor	w113_165__0.pt
w43:252	3	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n2	CLOBBER_NEAR:n2	t6	VACUOUS(n=1,matches=1)	VGF_ONLY	OK	OK	False	False	0	5	8	2	3	float16	()	1			1	squeeze_copy	floor_divide;exp	near-equal to another live tensor	w43_252__3.pt
w8:209	0	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n2	CLOBBER_NEAR:n2	t6	VACUOUS(n=1,matches=1)	SHARED	MISMATCH	MISMATCH	True	True	0	4	4	2	3	uint8	()	1			1	view_copy	bitwise_left_shift;gt;exp;amax	near-equal to another live tensor	w8_209__0.pt
w73:102	3	COMPOSITIONAL	SCALE_ALIAS	ALIAS:n3	CLOBBER_NEAR:n3	t6	VACUOUS(n=2,matches=1)	VGF_ONLY	OK	OK	False	False	1	5	5	2	3	float16	(2,)	2			1	sin	floor_divide	near-equal to another live tensor	w73_102__3.pt
w103:698	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:-7720456580759552.000	EXTREME_MAGNITUDE	t2		SHARED	MISMATCH	MISMATCH	True	True	0	0	2	2	3	int64	(1, 1, 3)	3				gather	sub;bitwise_left_shift	|ref|max=56 |dev|max=4.323e+17	w103_698__0.pt
w4:5	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:1.500	INT_WRONG_VALUE	t9		VGF_ONLY	OK	OK	False	False	1	3	11	2	3	int16	(2, 2, 2, 2)	16	0.5	0.5		div	broadcast_to;_to_copy	max|delta|=1 |ref|max=2; ratio=1.5 consistent but VACUOUS (n_ratio=16, ref degenerate)	w4_5__0.pt
w62:425	0	COMPOSITIONAL	SCALE_ALIAS	SCALE:0.500	INT_WRONG_VALUE	t9		SHARED	MISMATCH	MISMATCH	True	True	0	0	2	2	3	int64	(4,)	4	0.5	0.5		abs	sum;broadcast_to;remainder;_to_copy	max|delta|=3 |ref|max=6; ratio=0.5 consistent but VACUOUS (n_ratio=4, ref degenerate)	w62_425__0.pt
